id,question,student_answer,correct_answer,grade_level,subject,misconception_type,expected_feedback,FlanT5_Small_FineTuned
19,What happens to matter when it is cooled?,Matter expands when it is cooled.,Matter contracts or shrinks when it is cooled.,Grade 5,Science,Misunderstanding of states of matter,Almost there! Expansion happens when matter is heated not cooled. When matter loses heat its particles slow down and move closer together causing it to contract or shrink. Remember: heat = expand and cold = contract!,"It is a way to get in and it's not. You are at the end of that as you can do so! So there will be no matter for which one has or what does have on your body, because they make up with them all: just like when this comes out from an area (no part). This means we need only use more than 1 form by 2 = 4 + 3 * 5 > 10"
31,What is a decomposer in an ecosystem?,A decomposer is an animal that eats live plants.,A decomposer is an organism such as bacteria or fungi that breaks down dead plants and animals returning nutrients to the soil.,Grade 6,Science,Food chain/ecosystem confusion,Good effort! Decomposers do not eat live plants. They break down dead and decaying matter like fallen leaves or dead animals. Bacteria and fungi are common decomposers. They are very important because they return nutrients to the soil. Remember: decomposers recycle dead matter back into the soil!,"It is a body in the soil. You are not an animal and it can be to have one or both of them as they do that for you! So there's just so we get on with all at once, which will make up more water from your plant by decomposing food into what has left out its nutrients when this comes back down (no plants). The animals may look like people but only take off some things because each other does no matter where-in their environment? This was right: first find how many leaves go through every place around us; then add about 2 times 3 = 5 + 4 * 1= 10"
74,What is the value of the digit 4 in 4823?,The value is 4.,The value is 4000.,Grade 5,Math,Place value misunderstanding,Almost there! The digit 4 is in the thousands place so its value is 4 × 1000 = 4000 not just 4. The value of a digit depends on its position. Remember: always multiply the digit by its place value to find its actual value!,It is a number. The value of the 1 and 2 are in 4: 5 + 3 = 7!
34,What causes rain to fall?,Rain falls because clouds become too cold.,Rain falls when water droplets in clouds combine and become heavy enough to fall due to gravity.,Grade 5,Science,Water cycle misunderstanding,Almost there! Temperature plays a role but rain forms mainly because tiny water droplets in clouds combine and grow heavy. Once they are heavy enough gravity pulls them down as rain. Remember: rain falls when droplets become too heavy to stay in the clouds!,"It is a way to get water in the air. You are not and it will be so that you can have all of them! The rain comes from there for at one place, which means they make up on an area with more than 1 or 2 by just as 3: when we do go out into your form"
91,What is the sum of angles in a quadrilateral?,The sum is 180 degrees.,The sum of angles in a quadrilateral is 360 degrees.,Grade 7,Math,Geometry angle confusion,Almost there! 180 degrees is the sum for a triangle. A quadrilateral has one more side and one more angle. You can divide any quadrilateral into two triangles each with 180° so total = 2 × 180 = 360 degrees. Remember: triangle = 180° and quadrilateral = 360°!,It is a number. The sum of angles are in and it can be the same as that for to have 1 or 2: 3 + 4 = 7!
5,What do plants release into the air during photosynthesis?,Plants release carbon dioxide into the air.,Plants release oxygen into the air during photosynthesis.,Grade 5,Science,Misunderstanding of photosynthesis,Good try! You might be thinking of animals which do release carbon dioxide. But plants are the opposite. During photosynthesis plants take in carbon dioxide and release oxygen into the air. Remember: plants give us the oxygen we breathe!,"It is in the air. You are a place to make it and you can not have that for all of them! The water will be there when they go on at one time, which means so just get up from your body as we do with food: like carbon dioxide or oxygen by an animal's way through this form (no matter how long). So what does then look out into our environment?"
77,Write 5 hundreds 3 tens and 2 ones as a number.,The number is 5320.,The number is 532.,Grade 3,Math,Place value misunderstanding,Almost there! Let us build the number carefully. 5 hundreds = 500. 3 tens = 30. 2 ones = 2. Add them: 500 + 30 + 2 = 532. You placed an extra zero. Remember: 5 hundreds + 3 tens + 2 ones = 532!,This is a number. The 1 and 2 of the 3 are not in it! It has to be 4 or 7 for 5: 8 + 6 = 9
78,What is the value of the digit 2 in 8241?,The value is 200.,The value is 200.,Grade 5,Math,Place value misunderstanding,Excellent work! You got it right. In 8241 the digit 2 is in the hundreds place and its value is 2 × 100 = 200. Remember: always identify the place position first then multiply to find the value!,"It is a number. The value of the 1 and 2 are in it! You will have to find one for that: 3 or 4 = 5 on at first, so 10 + 8 * 7= 9 (2+ 6)- 30 20's with 15/9"
13,What does the brain control?,The brain helps us digest food.,The brain controls all body functions including movement thinking and senses.,Grade 3,Science,Confusion between body organs/functions,Good try! Digesting food is the job of the stomach and digestive system. The brain is the control center of your whole body. It controls how you move think feel and respond to the world around you. Remember: brain = control center of the body!,"It is a form of the brain. You are not in it and you have to do that! The body can be at or on your head for as one's part, which means there will only go out from an area so they make up with all other things when we get into food: what does this look like? This has more than just water but no matter how well our bodies use by us (no way). So right over where each person comes down because both people take them back through their life; then find another place about its side-toed off without being left before making any change between two different ones"
32,What is a herbivore?,A herbivore is an animal that eats only meat.,A herbivore is an animal that eats only plants.,Grade 3,Science,Food chain/ecosystem confusion,Almost there! An animal that eats only meat is called a carnivore. A herbivore is the opposite. It eats only plants. Cows rabbits and elephants are examples of herbivores. Remember: herbivore = plant eater and carnivore = meat eater!,"It is a plant. You are not an animal and it can be in the water to have that food for all of them! So there's just so you will get on with this one as we do, which means they make up at your place: when or where (no plants). The herbivore comes from what has been left over by its body but no animals because 1-int = 2 + 4 * 3+ 5= 10"
