id,question,student_answer,correct_answer,grade_level,subject,misconception_type,expected_feedback
11,What does the stomach do?,The stomach sends messages to the brain.,The stomach breaks down food using acids and enzymes.,Grade 4,Science,Confusion between body organs/functions,Good effort! Sending messages to the brain is the job of the nervous system not the stomach. The stomach is part of the digestive system and it breaks down the food you eat using special acids and enzymes. Remember: stomach = digesting food!
12,What is the role of the kidneys in the human body?,Kidneys help us breathe better.,Kidneys filter waste and excess water from the blood and produce urine.,Grade 6,Science,Confusion between body organs/functions,Nice try! Breathing is done by the lungs not the kidneys. The kidneys are like filters that clean your blood by removing waste products and extra water which then leave the body as urine. Remember: kidneys = filtering blood and cleaning waste!
13,What does the brain control?,The brain helps us digest food.,The brain controls all body functions including movement thinking and senses.,Grade 3,Science,Confusion between body organs/functions,Good try! Digesting food is the job of the stomach and digestive system. The brain is the control center of your whole body. It controls how you move think feel and respond to the world around you. Remember: brain = control center of the body!
14,What is the function of red blood cells?,Red blood cells fight infections in the body.,Red blood cells carry oxygen from the lungs to the rest of the body.,Grade 6,Science,Confusion between body organs/functions,Almost there! Fighting infections is actually the job of white blood cells. Red blood cells have a very different job. They carry oxygen from your lungs to every cell in your body. Remember: red blood cells = oxygen carriers and white blood cells = infection fighters!
15,What is the function of the small intestine?,The small intestine stores food for later use.,The small intestine absorbs nutrients from digested food into the bloodstream.,Grade 7,Science,Confusion between body organs/functions,Good effort! Storing food is not the role of the small intestine. After the stomach breaks down food the small intestine absorbs all the important nutrients and sends them into your blood. Remember: small intestine = absorbing nutrients from food!
16,What does the skeleton do for the human body?,The skeleton helps us see and hear.,The skeleton provides structure and support protects organs and enables movement.,Grade 4,Science,Confusion between body organs/functions,Nice try! Seeing and hearing involve the eyes and ears not the skeleton. Our skeleton gives our body its shape supports our weight protects important organs like the heart and brain and works with muscles to help us move. Remember: skeleton = structure support and protection!
17,What happens to water when it is heated?,Water gets heavier when it is heated.,Water evaporates and turns into water vapor when heated.,Grade 6,Science,Misunderstanding of states of matter,Nice try! Actually water does not get heavier when heated. It becomes lighter and turns into water vapor which rises into the air. This process is called evaporation. Remember: heating water causes evaporation not heaviness!
18,What is the process called when water vapor turns back into liquid water?,It is called evaporation when vapor becomes water.,The process is called condensation when water vapor cools and turns into liquid water.,Grade 6,Science,Misunderstanding of states of matter,Good try! Evaporation is the opposite process where liquid turns into vapor. When water vapor cools down and becomes liquid again it is called condensation. You can see this on a cold glass of water on a hot day. Remember: evaporation = liquid to vapor and condensation = vapor to liquid!
19,What happens to matter when it is cooled?,Matter expands when it is cooled.,Matter contracts or shrinks when it is cooled.,Grade 5,Science,Misunderstanding of states of matter,Almost there! Expansion happens when matter is heated not cooled. When matter loses heat its particles slow down and move closer together causing it to contract or shrink. Remember: heat = expand and cold = contract!
20,What is the state of water at 0 degrees Celsius?,Water boils at 0 degrees Celsius.,Water freezes and turns into ice at 0 degrees Celsius.,Grade 4,Science,Misunderstanding of states of matter,Good effort! Boiling happens at 100 degrees Celsius not 0. At 0 degrees Celsius water freezes and becomes solid ice. Remember: 0°C = freezing point and 100°C = boiling point of water!
21,What is melting?,Melting is when a liquid becomes a solid.,Melting is when a solid absorbs heat and turns into a liquid.,Grade 3,Science,Misunderstanding of states of matter,Nice try! You have it backwards. When a liquid becomes solid that is called freezing. Melting is the opposite. When a solid like ice absorbs heat it turns into a liquid like water. Remember: melting = solid to liquid!
22,Why does ice cream melt on a hot day?,Ice cream melts because it gets wet from humidity.,Ice cream melts because heat energy breaks down its solid structure turning it into a liquid.,Grade 4,Science,Misunderstanding of states of matter,Good try! Humidity might make things feel wet but it is heat that melts ice cream. When heat energy is absorbed by the solid ice cream its structure breaks down and it becomes liquid. Remember: heat causes solids to melt into liquids!
23,What is gravity?,Gravity is a force that pushes things up into the sky.,Gravity is a force that pulls all objects toward the center of the Earth.,Grade 4,Science,Gravity and force confusion,Good effort! Gravity actually does the opposite of pushing things up. It is a pulling force that draws all objects downward toward the center of the Earth. That is why things fall when you drop them. Remember: gravity pulls everything down toward Earth!
24,Why do heavier objects fall faster than lighter ones?,Heavier objects always fall faster because they weigh more.,In the absence of air resistance all objects fall at the same rate regardless of mass.,Grade 7,Science,Gravity and force confusion,Almost there! This is a very common misconception. Without air resistance gravity pulls all objects at the same rate no matter how heavy they are. A feather falls slowly only because of air resistance not because of gravity. Remember: gravity accelerates all objects equally in a vacuum!
25,What keeps the planets in orbit around the sun?,Planets orbit the sun because they are stuck to it.,The gravitational pull of the sun keeps planets in orbit.,Grade 6,Science,Gravity and force confusion,Good try! Planets are not physically attached to the sun. The sun's enormous gravity pulls on the planets constantly keeping them moving in a curved path around it. Without this gravitational pull planets would fly off into space. Remember: the sun's gravity holds the solar system together!
26,What is friction?,Friction is a force that makes objects move faster.,Friction is a force that opposes motion and slows moving objects down.,Grade 5,Science,Gravity and force confusion,Nice try! Friction actually does the opposite of making things faster. It is a force that resists movement between two surfaces in contact. That is why it is harder to slide on a rough surface than a smooth one. Remember: friction slows things down and opposes motion!
27,What is a food chain?,A food chain shows where animals sleep.,A food chain shows how energy passes from one organism to another through feeding.,Grade 4,Science,Food chain/ecosystem confusion,Good effort! A food chain is not about sleeping. It shows the order in which animals eat each other. For example grass is eaten by a rabbit which is eaten by a fox. Energy passes from one to the next. Remember: food chain = who eats whom!
28,What is a producer in a food chain?,A producer is an animal that eats other animals.,A producer is an organism usually a plant that makes its own food through photosynthesis.,Grade 5,Science,Food chain/ecosystem confusion,Almost there! Animals that eat other animals are called consumers. Producers are different. They are usually plants that make their own food using sunlight water and carbon dioxide. Remember: producers make food and consumers eat food!
29,What happens if a species goes extinct in a food chain?,Nothing changes if one species disappears.,The removal of one species can disrupt the entire food chain and affect all other organisms.,Grade 6,Science,Food chain/ecosystem confusion,Good try! Food chains are very connected. If one species disappears the animals that ate it lose their food source and the animals it used to eat may overpopulate. This can cause a chain reaction affecting the whole ecosystem. Remember: every species plays an important role in the food chain!
30,What is a predator?,A predator is an animal that is hunted by other animals.,A predator is an animal that hunts and eats other animals.,Grade 4,Science,Food chain/ecosystem confusion,Nice try! You are describing prey not a predator. Prey are animals that get hunted. A predator is the hunter that catches and eats other animals. For example a lion is a predator and a zebra is its prey. Remember: predator = hunter and prey = the hunted!
31,What is a decomposer in an ecosystem?,A decomposer is an animal that eats live plants.,A decomposer is an organism such as bacteria or fungi that breaks down dead plants and animals returning nutrients to the soil.,Grade 6,Science,Food chain/ecosystem confusion,Good effort! Decomposers do not eat live plants. They break down dead and decaying matter like fallen leaves or dead animals. Bacteria and fungi are common decomposers. They are very important because they return nutrients to the soil. Remember: decomposers recycle dead matter back into the soil!
32,What is a herbivore?,A herbivore is an animal that eats only meat.,A herbivore is an animal that eats only plants.,Grade 3,Science,Food chain/ecosystem confusion,Almost there! An animal that eats only meat is called a carnivore. A herbivore is the opposite. It eats only plants. Cows rabbits and elephants are examples of herbivores. Remember: herbivore = plant eater and carnivore = meat eater!
33,What is the water cycle?,The water cycle is how fish move between rivers and oceans.,"The water cycle is the continuous movement of water through evaporation, condensation, and precipitation.",Grade 5,Science,Water cycle misunderstanding,Good try! The water cycle is not about fish movement. It describes how water moves through the environment. Water evaporates from lakes and oceans rises as vapor forms clouds and falls back as rain or snow. Remember: evaporation then condensation then precipitation!
34,What causes rain to fall?,Rain falls because clouds become too cold.,Rain falls when water droplets in clouds combine and become heavy enough to fall due to gravity.,Grade 5,Science,Water cycle misunderstanding,Almost there! Temperature plays a role but rain forms mainly because tiny water droplets in clouds combine and grow heavy. Once they are heavy enough gravity pulls them down as rain. Remember: rain falls when droplets become too heavy to stay in the clouds!
35,Where does the water in clouds come from?,Water in clouds comes from underground rivers.,Water in clouds comes from evaporation of water from oceans lakes and rivers.,Grade 4,Science,Water cycle misunderstanding,Good effort! Underground water does exist but it is not the source of clouds. The sun heats water on the surface of oceans lakes and rivers causing it to evaporate and rise into the atmosphere where it forms clouds. Remember: clouds form from evaporated surface water!
36,What is precipitation?,Precipitation is when water evaporates from the ground.,Precipitation is any form of water that falls from clouds including rain snow or hail.,Grade 5,Science,Water cycle misunderstanding,Nice try! Evaporation is actually the opposite process where water rises into the air. Precipitation is when water comes back down from clouds in the form of rain snow sleet or hail. Remember: precipitation = water falling from clouds!
37,What is runoff in the water cycle?,Runoff is water that evaporates quickly from plants.,Runoff is water that flows over land into rivers lakes and oceans after rainfall.,Grade 6,Science,Water cycle misunderstanding,Good try! Evaporation from plants is called transpiration not runoff. Runoff is when rainwater that cannot soak into the ground flows over the surface of the land into rivers and lakes. Remember: runoff = water flowing over land into water bodies!
38,Why is the water cycle important?,The water cycle is important only for fish and sea animals.,The water cycle is important because it distributes freshwater across the Earth supporting all living things.,Grade 5,Science,Water cycle misunderstanding,Almost there! The water cycle benefits all living things not just sea animals. It distributes freshwater to plants animals and humans all around the world through rain and snow. Without it life on land could not survive. Remember: the water cycle keeps freshwater available for everyone!
39,What is groundwater?,Groundwater is water that floats above the clouds.,Groundwater is water stored beneath the Earth's surface in soil and rock.,Grade 6,Science,Water cycle misunderstanding,Good effort! Water above clouds is water vapor not groundwater. Groundwater is found underground. When rain soaks into the ground it collects in spaces between soil and rock forming groundwater which feeds wells and springs. Remember: groundwater = water stored underground!
40,What is a habitat?,A habitat is the food an animal eats.,"A habitat is the natural environment where an organism lives, including its shelter food and water sources.",Grade 3,Science,Habitat and adaptation confusion,Good try! Food is part of a habitat but a habitat is much more than just food. It is the complete natural home of an animal including where it sleeps finds water and raises its young. Remember: habitat = the complete natural home of an organism!
41,What is adaptation?,Adaptation is when animals change their color for fun.,Adaptation is a feature or behavior that helps an organism survive in its environment.,Grade 5,Science,Habitat and adaptation confusion,Almost there! Animals do not change color for fun. Adaptations are special features that help animals survive. For example a polar bear has thick fur to survive in cold Arctic temperatures. Remember: adaptation = a feature that helps an organism survive!
42,Why do polar bears have thick white fur?,Polar bears have white fur because they like the color white.,"Polar bears have thick white fur to keep them warm in cold Arctic temperatures, and white color provides camouflage in snow.",Grade 4,Science,Habitat and adaptation confusion,Good effort! Animals do not choose traits like colors for preference. Polar bears evolved thick fur for warmth and white color for camouflage so predators and prey cannot easily spot them in the snow. Remember: white fur = warmth and camouflage in the Arctic!
43,Why do fish have gills?,Fish have gills to help them swim faster.,Fish have gills to extract oxygen from water so they can breathe underwater.,Grade 4,Science,Habitat and adaptation confusion,Nice try! Fins help fish swim not gills. Gills are special breathing organs that allow fish to absorb oxygen directly from the water. Without gills fish could not survive underwater. Remember: gills = breathing underwater!
44,What is migration in animals?,Migration is when animals hibernate in winter.,Migration is the seasonal movement of animals from one place to another to find food or better climate.,Grade 5,Science,Habitat and adaptation confusion,Good try! Hibernation is different from migration. Hibernation is when animals go into a deep sleep during winter. Migration is when animals physically travel to warmer places or better food sources during seasonal changes. Remember: migration = traveling to a new place and hibernation = sleeping through winter!
45,Why do cacti have thick stems?,Cacti have thick stems to make them taller than other plants.,Cacti have thick stems to store water allowing them to survive in dry desert environments.,Grade 5,Science,Habitat and adaptation confusion,Almost there! Height is not why cacti have thick stems. Cacti live in very dry deserts where water is scarce. Their thick stems store large amounts of water so the plant can survive long periods without rain. Remember: cactus thick stem = water storage for desert survival!
46,What is hibernation?,Hibernation is when animals migrate to warmer places.,Hibernation is a state of deep sleep that some animals enter during winter to conserve energy.,Grade 4,Science,Habitat and adaptation confusion,Good effort! Migration is when animals travel to new places. Hibernation is different. It is when animals like bears go into a very deep sleep during cold winter months when food is scarce. They slow their heartbeat and live off stored fat. Remember: hibernation = deep winter sleep to save energy!
47,What is 1/2 + 1/3?,The answer is 2/5.,The answer is 5/6.,Grade 5,Math,Fraction addition error,Good effort! It looks like you added the numerators and denominators separately which is a very common mistake. To add fractions you must first find a common denominator. The common denominator of 2 and 3 is 6. Convert 1/2 = 3/6 and 1/3 = 2/6. Now add: 3/6 + 2/6 = 5/6. Remember: never add denominators directly!
48,What is 3/4 + 1/2?,The answer is 4/6.,The answer is 5/4 or 1 and 1/4.,Grade 5,Math,Fraction addition error,Almost there! You added numerators and denominators separately again. First find a common denominator. The common denominator of 4 and 2 is 4. Convert 1/2 = 2/4. Now add: 3/4 + 2/4 = 5/4. Since 5/4 is more than 1 we write it as 1 and 1/4. Remember: find common denominator first then add only the numerators!
49,What is 2/3 - 1/4?,The answer is 1/1.,The answer is 5/12.,Grade 6,Math,Fraction addition error,Good try! You cannot subtract fractions with different denominators directly. First find a common denominator. The common denominator of 3 and 4 is 12. Convert 2/3 = 8/12 and 1/4 = 3/12. Now subtract: 8/12 - 3/12 = 5/12. Remember: always convert to a common denominator before subtracting fractions!
50,What is 1/3 + 1/3?,The answer is 2/6.,The answer is 2/3.,Grade 4,Math,Fraction addition error,Nice try! When fractions have the same denominator you only add the numerators not the denominators. So 1/3 + 1/3 = 2/3. The denominator stays the same because the size of the pieces has not changed. Remember: same denominator means just add the numerators and keep the denominator!
51,Simplify the fraction 4/8.,4/8 cannot be simplified.,4/8 simplifies to 1/2.,Grade 5,Math,Fraction addition error,Good effort! Most fractions can be simplified. To simplify 4/8 find the greatest common factor of 4 and 8 which is 4. Divide both numerator and denominator by 4: 4÷4 = 1 and 8÷4 = 2. So 4/8 = 1/2. Remember: divide both top and bottom by the same number to simplify a fraction!
52,What is 5/6 - 1/3?,The answer is 4/3.,The answer is 1/2.,Grade 6,Math,Fraction addition error,Almost there! The common denominator of 6 and 3 is 6. Convert 1/3 = 2/6. Now subtract: 5/6 - 2/6 = 3/6. Simplify 3/6 by dividing by 3 to get 1/2. Remember: find the common denominator subtract the numerators then simplify the result!
53,What is 3/5 + 2/5?,The answer is 5/10.,The answer is 5/5 which equals 1.,Grade 4,Math,Fraction addition error,Good try! When fractions have the same denominator you only add the numerators. So 3/5 + 2/5 = 5/5. The denominator stays 5 not 10. And 5/5 equals 1 because the numerator and denominator are the same. Remember: same denominator means add only the numerators!
54,What is 7/8 - 3/8?,The answer is 4/0.,The answer is 4/8 which simplifies to 1/2.,Grade 5,Math,Fraction addition error,Good effort! When fractions have the same denominator just subtract the numerators. So 7/8 - 3/8 = 4/8. Then simplify by dividing both by 4 to get 1/2. Also remember that 0 in the denominator is never allowed. Remember: subtract numerators keep the denominator then simplify!
55,What is 2/5 + 3/10?,The answer is 5/15.,The answer is 7/10.,Grade 6,Math,Fraction addition error,Almost there! You added numerators and denominators separately. Find the common denominator of 5 and 10 which is 10. Convert 2/5 = 4/10. Now add: 4/10 + 3/10 = 7/10. Remember: find the common denominator then add only the numerators!
56,What is 1/4 + 2/4 + 1/4?,The answer is 3/12.,The answer is 4/4 which equals 1.,Grade 4,Math,Fraction addition error,Good try! All three fractions have the same denominator so just add the numerators: 1+2+1 = 4. The denominator stays 4. So the answer is 4/4 which equals 1 because any fraction where the numerator equals the denominator equals 1. Remember: same denominator means just add the numerators!
57,A rectangle has a length of 8cm and width of 3cm. What is its area?,The area is 22 cm.,The area is 24 cm².,Grade 6,Math,Area vs perimeter confusion,Almost there! It looks like you calculated the perimeter which adds all sides: 8+3+8+3 = 22. But area is different. Area is the space inside the shape calculated as length × width. So area = 8 × 3 = 24 cm². Remember: area = length × width and always written in square units like cm²!
58,What is the perimeter of a square with side 5cm?,The perimeter is 25 cm.,The perimeter is 20 cm.,Grade 5,Math,Area vs perimeter confusion,Good effort! 25 cm would be the area of the square (5 × 5 = 25). Perimeter is the total distance around the outside. A square has 4 equal sides so perimeter = 4 × 5 = 20 cm. Remember: perimeter = adding all sides and area = length × width!
59,A triangle has a base of 6cm and a height of 4cm. What is its area?,The area is 24 cm².,The area is 12 cm².,Grade 6,Math,Area vs perimeter confusion,Almost there! You used length × width which is correct for rectangles. But for a triangle the formula is different: Area = 1/2 × base × height. So area = 1/2 × 6 × 4 = 12 cm². Remember: triangle area = half of base times height!
60,What is the area of a square with side 7cm?,The area is 28 cm².,The area is 49 cm².,Grade 5,Math,Area vs perimeter confusion,Good try! 28 cm would be the perimeter (7 × 4 = 28). The area of a square is side × side. So area = 7 × 7 = 49 cm². Remember: area of a square = side × side and perimeter = 4 × side!
61,What is the perimeter of a rectangle with length 10cm and width 4cm?,The perimeter is 40 cm.,The perimeter is 28 cm.,Grade 5,Math,Area vs perimeter confusion,Almost there! 40 cm would be the area (10 × 4 = 40). The perimeter is the total distance around the rectangle. Add all four sides: 10 + 4 + 10 + 4 = 28 cm. Remember: perimeter adds all sides and area multiplies length by width!
62,A circle has a radius of 3cm. What is its area? (Use π = 3.14),The area is 18.84 cm².,The area is 28.26 cm².,Grade 7,Math,Area vs perimeter confusion,Good effort! It looks like you calculated circumference (2πr = 2 × 3.14 × 3 = 18.84) instead of area. The area of a circle = π × r². So area = 3.14 × 3 × 3 = 28.26 cm². Remember: circle area = π × radius squared!
63,What is the area of a parallelogram with base 9cm and height 5cm?,The area is 28 cm.,The area is 45 cm².,Grade 7,Math,Area vs perimeter confusion,Almost there! 28 cm looks like a perimeter calculation. The area of a parallelogram is base × height just like a rectangle. So area = 9 × 5 = 45 cm². Remember: parallelogram area = base × height always in square units!
64,What is the area of a rectangle with length 12cm and width 5cm?,The area is 34 cm².,The area is 60 cm².,Grade 6,Math,Area vs perimeter confusion,Good try! 34 cm would be the perimeter (12+5+12+5 = 34). Area is calculated by multiplying length × width. So area = 12 × 5 = 60 cm². Remember: area = length × width and perimeter = sum of all sides!
65,What is 6 × 7?,6 × 7 = 48.,6 × 7 = 42.,Grade 3,Math,Multiplication and division confusion,Good try! It is easy to mix up multiplication facts. 6 × 7 means 6 groups of 7 or 7+7+7+7+7+7 = 42. You might have confused it with 6 × 8 = 48. Remember: practice your times tables and 6 × 7 = 42!
66,What is 56 ÷ 8?,56 ÷ 8 = 6.,56 ÷ 8 = 7.,Grade 4,Math,Multiplication and division confusion,Almost there! Division asks how many times 8 fits into 56. Check: 8 × 7 = 56. So 56 ÷ 8 = 7 not 6. You might have thought of 48 ÷ 8 = 6. Remember: multiplication and division are opposites so 8 × 7 = 56 means 56 ÷ 8 = 7!
67,What is 9 × 6?,9 × 6 = 54 but I am not sure.,9 × 6 = 54.,Grade 3,Math,Multiplication and division confusion,Great job! You actually got the right answer! 9 × 6 = 54 is correct. It is good to double check by adding: 9+9+9+9+9+9 = 54. Remember: trust your times tables and always verify by addition if unsure!
68,What is 72 ÷ 9?,72 ÷ 9 = 63.,72 ÷ 9 = 8.,Grade 4,Math,Multiplication and division confusion,Good effort! 63 is actually 9 × 7 not the answer to this division. To divide 72 by 9 ask how many times 9 fits into 72. Check: 9 × 8 = 72. So 72 ÷ 9 = 8. Remember: use multiplication facts to help with division!
69,What is 8 × 4?,8 × 4 = 28.,8 × 4 = 32.,Grade 3,Math,Multiplication and division confusion,Almost there! You might have added instead of multiplied. 8 × 4 means 8 groups of 4: 8+8+8+8 = 32. Or 4 groups of 8: 4+4+4+4+4+4+4+4 = 32. Remember: 8 × 4 = 32 not 28!
70,What is 45 ÷ 5?,45 ÷ 5 = 40.,45 ÷ 5 = 9.,Grade 4,Math,Multiplication and division confusion,Good try! 40 is the result of subtraction (45-5) not division. Division asks how many groups of 5 fit into 45. Count by 5s: 5 10 15 20 25 30 35 40 45. That is 9 groups. Remember: 45 ÷ 5 = 9 and check using 5 × 9 = 45!
71,What is 7 × 8?,7 × 8 = 54.,7 × 8 = 56.,Grade 4,Math,Multiplication and division confusion,Almost there! You might have confused 7 × 8 with 6 × 9 = 54. The correct answer is 7 × 8 = 56. You can verify: 8+8+8+8+8+8+8 = 56. Remember: 7 × 8 = 56 is one of the tricky ones so practice it extra!
72,What is 63 ÷ 7?,63 ÷ 7 = 56.,63 ÷ 7 = 9.,Grade 5,Math,Multiplication and division confusion,Good effort! 56 is 7 × 8 not the answer here. Ask yourself: 7 times what equals 63? Check: 7 × 9 = 63. So 63 ÷ 7 = 9. Remember: think of the related multiplication fact to solve division problems!
73,What is the place value of 5 in the number 3567?,The 5 is in the ones place.,The 5 is in the hundreds place.,Grade 4,Math,Place value misunderstanding,Good try! Let us look at each digit's position. In 3567: 3 is in the thousands place 5 is in the hundreds place 6 is in the tens place and 7 is in the ones place. Remember: count from right to left for ones tens hundreds thousands!
74,What is the value of the digit 4 in 4823?,The value is 4.,The value is 4000.,Grade 5,Math,Place value misunderstanding,Almost there! The digit 4 is in the thousands place so its value is 4 × 1000 = 4000 not just 4. The value of a digit depends on its position. Remember: always multiply the digit by its place value to find its actual value!
75,What is 30 + 400 + 7?,30 + 400 + 7 = 4300.,30 + 400 + 7 = 437.,Grade 3,Math,Place value misunderstanding,Good effort! Let us add carefully. 400 + 30 + 7. The 4 is in the hundreds place the 3 is in the tens place and 7 is in the ones place. Together they make 437. Remember: line up digits by place value when adding hundreds tens and ones!
76,What is the place value of 8 in 1285?,The 8 is in the hundreds place.,The 8 is in the tens place.,Grade 4,Math,Place value misunderstanding,Good try! In 1285: 1 is in the thousands place 2 is in the hundreds place 8 is in the tens place and 5 is in the ones place. So 8 is in the tens place not hundreds. Remember: count from right to left: ones tens hundreds thousands!
77,Write 5 hundreds 3 tens and 2 ones as a number.,The number is 5320.,The number is 532.,Grade 3,Math,Place value misunderstanding,Almost there! Let us build the number carefully. 5 hundreds = 500. 3 tens = 30. 2 ones = 2. Add them: 500 + 30 + 2 = 532. You placed an extra zero. Remember: 5 hundreds + 3 tens + 2 ones = 532!
78,What is the value of the digit 2 in 8241?,The value is 200.,The value is 200.,Grade 5,Math,Place value misunderstanding,Excellent work! You got it right. In 8241 the digit 2 is in the hundreds place and its value is 2 × 100 = 200. Remember: always identify the place position first then multiply to find the value!
79,Solve: 2x + 3 = 11.,x = 7.,x = 4.,Grade 7,Math,Basic algebra error,Good try! To solve 2x + 3 = 11 first subtract 3 from both sides: 2x = 11 - 3 = 8. Then divide both sides by 2: x = 8 ÷ 2 = 4. Always perform the same operation on both sides to keep the equation balanced. Remember: isolate x by working backwards through the operations!
80,Solve: x - 5 = 12.,x = 7.,x = 17.,Grade 6,Math,Basic algebra error,Almost there! To find x add 5 to both sides of the equation: x = 12 + 5 = 17. You may have subtracted instead of adding. Remember: to cancel subtraction on one side you add to both sides!
81,Solve: 3x = 18.,x = 15.,x = 6.,Grade 6,Math,Basic algebra error,Good effort! 3x = 18 means 3 times x equals 18. To find x divide both sides by 3: x = 18 ÷ 3 = 6. You may have subtracted 3 from 18 instead of dividing. Remember: to cancel multiplication divide both sides by the same number!
82,Solve: x/4 = 3.,x = 12 is my guess but I think it is wrong.,x = 12.,Grade 7,Math,Basic algebra error,Great job! Your instinct was correct. x/4 = 3 means x divided by 4 equals 3. To find x multiply both sides by 4: x = 3 × 4 = 12. Trust your reasoning. Remember: to cancel division multiply both sides by the same number!
83,Solve: 5x - 2 = 13.,x = 2.,x = 3.,Grade 7,Math,Basic algebra error,Good try! First add 2 to both sides: 5x = 13 + 2 = 15. Then divide both sides by 5: x = 15 ÷ 5 = 3. It looks like you divided 13 by 5 without adding 2 first. Remember: always undo addition and subtraction before multiplication and division!
84,Solve: x + 9 = 20.,x = 29.,x = 11.,Grade 6,Math,Basic algebra error,Almost there! To find x subtract 9 from both sides: x = 20 - 9 = 11. It looks like you added 9 to 20 instead of subtracting. Remember: to cancel addition on one side subtract from both sides!
85,Solve: 4x + 1 = 17.,x = 5.,x = 4.,Grade 8,Math,Basic algebra error,Good effort! First subtract 1 from both sides: 4x = 17 - 1 = 16. Then divide both sides by 4: x = 16 ÷ 4 = 4. You may have divided 17 by 4 without subtracting 1 first. Remember: always remove constants before dividing to isolate x!
86,What is the sum of angles in a triangle?,The sum of angles in a triangle is 90 degrees.,The sum of angles in a triangle is always 180 degrees.,Grade 6,Math,Geometry angle confusion,Good try! 90 degrees is the measure of a right angle which is just one angle. A triangle has three angles and they always add up to 180 degrees no matter what type of triangle it is. Remember: sum of angles in a triangle = 180 degrees always!
87,What type of angle is 95 degrees?,95 degrees is an acute angle.,95 degrees is an obtuse angle.,Grade 5,Math,Geometry angle confusion,Almost there! An acute angle is less than 90 degrees. Since 95 degrees is greater than 90 degrees it is an obtuse angle. Obtuse angles are between 90 and 180 degrees. Remember: acute = less than 90° right = exactly 90° and obtuse = between 90° and 180°!
88,What is the measure of a straight angle?,A straight angle is 90 degrees.,A straight angle measures 180 degrees.,Grade 6,Math,Geometry angle confusion,Good effort! 90 degrees is a right angle which looks like the corner of a square. A straight angle is a completely straight line and measures 180 degrees. Think of it as two right angles placed together. Remember: right angle = 90° and straight angle = 180°!
